"","points","points_last","avg_age","club_transfer_ratio","manager_change","star_players","played_internationally","squad_size","foreigners","promotion"
"230",60,64,23.6,1.54381892048752,0,0,1,32,0.71875,0
"231",64,80,23.9,2.77225672877847,0,0,1,29,0.689655172413793,0
"232",80,69,25.1,1.180044345898,1,0,1,27,0.62962962962963,0
"233",69,67,24.5,1.70854271356784,1,0,1,30,0.7,0
"234",67,54,24.2,4.76931506849315,0,0,0,33,0.696969696969697,0
"235",54,65,23.8,1.15490096495683,1,0,1,35,0.571428571428571,0
"236",65,68,23.9,1.66174920969442,0,0,1,32,0.5,0
"237",68,71,23.5,0.53309481216458,0,0,0,27,0.407407407407407,0
"238",71,74,24.2,1.9710843373494,0,0,1,30,0.4,0
"239",74,60,24.3,1.95918367346939,0,0,0,26,0.423076923076923,0
"240",60,59,25,2.11970074812968,1,0,0,31,0.387096774193548,0
"241",59,0,24.6,1.5972850678733,0,0,0,31,0.451612903225806,0
"242",66,79,24.4,3.82082890541977,0,0,0,38,0.710526315789474,0
"243",79,86,25.4,2.07778546712803,0,0,1,36,0.805555555555556,0
"244",86,78,25.7,3.61370716510903,1,0,1,27,0.777777777777778,0
"245",78,89,24,2.05462348809988,0,0,1,38,0.710526315789474,0
"246",89,71,24.7,4.45410071942446,0,0,1,34,0.647058823529412,0
"247",71,67,23.4,8.8490727532097,0,0,1,45,0.6,0
"248",67,50,24.1,7.06602708803612,0,0,0,40,0.6,0
"249",50,55,24,5.36072144288577,1,0,1,32,0.625,0
"250",55,42,23.6,1.84619671217609,1,0,0,30,0.633333333333333,0
"251",42,43,24.4,0.41781270464964,0,0,0,29,0.482758620689655,0
"252",43,52,24.7,0.773722627737226,0,0,0,28,0.5,0
"253",52,41,25.4,0.12207916070577,1,0,0,29,0.586206896551724,0
"254",41,51,25.7,1.63435867672664,0,0,1,33,0.727272727272727,0
"255",51,0,24.9,3.84989648033126,0,0,0,37,0.756756756756757,1
"256",34,0,24.9,0.727165237954478,0,0,0,36,0.666666666666667,1
"257",38,49,24.6,1.20481927710843,1,0,0,32,0.5,0
"258",49,45,25.8,0.41399416909621,0,0,0,28,0.357142857142857,0
"259",45,57,25,3.21695760598504,1,0,0,34,0.382352941176471,0
"260",57,0,24.3,0.221266968325792,0,0,0,24,0.375,0
"261",66,70,22.5,2.64123273113709,0,0,0,44,0.522727272727273,0
"262",70,64,23.9,4.59653979238754,1,0,0,43,0.558139534883721,0
"263",64,89,24.9,2.42880703683342,1,0,1,34,0.676470588235294,0
"264",89,89,24.1,2.53531018337885,0,0,1,36,0.583333333333333,0
"265",89,80,23.6,3.04805755395683,0,0,1,41,0.536585365853659,0
"266",80,85,24.1,1.42139800285307,0,0,1,43,0.651162790697674,0
"267",85,90,25,1.31433408577878,0,1,1,33,0.666666666666667,0
"268",90,87,24.3,1.54148296593186,0,1,1,31,0.645161290322581,0
"269",87,89,24.2,2.45137921426581,0,1,1,33,0.575757575757576,0
"270",89,83,24.2,1.51407989521938,0,0,1,33,0.545454545454545,0
"271",83,77,24.9,1.97299270072993,0,0,1,29,0.689655172413793,0
"272",77,75,24.2,4.96518836432999,0,0,1,32,0.6875,0
"273",75,83,23.3,5.42890307603018,0,0,1,30,0.6,0
"274",83,77,25.3,4.24327122153209,0,0,1,27,0.555555555555556,0
"275",77,80,26.1,3.23592017738359,0,1,1,30,0.666666666666667,0
"276",80,91,24.9,0.588235294117647,0,0,1,34,0.529411764705882,0
"277",91,79,24.2,0.740821917808219,0,1,1,37,0.540540540540541,0
"278",79,77,24.2,3.82021330624683,0,0,1,31,0.516129032258065,0
"279",77,75,24,1.21390937829294,0,0,1,31,0.451612903225806,0
"280",75,82,23.2,1.70661896243292,0,0,1,30,0.466666666666667,0
"281",82,88,23.2,0.0589156626506024,0,0,1,27,0.37037037037037,0
"282",88,92,22.7,1.9533527696793,0,0,1,33,0.393939393939394,0
"283",92,84,24,3.60598503740648,0,0,1,30,0.366666666666667,0
"284",84,0,23.9,1.35746606334842,0,0,1,32,0.40625,0
"285",32,42,22.3,0.436072144288577,0,0,0,30,0.433333333333333,0
"286",42,46,23.6,1.19838395096127,0,0,0,30,0.466666666666667,0
"287",46,45,23.2,0.629338572364113,1,0,0,32,0.46875,0
"288",45,55,23.6,0.866423357664234,0,0,1,35,0.4,0
"289",55,48,24.6,0.547448736289938,0,0,1,31,0.419354838709677,0
"290",48,49,24.3,1.00638421358096,0,0,0,35,0.457142857142857,0
"291",49,45,24,3.29089026915114,0,0,0,32,0.46875,0
"292",45,42,26.5,0.855875831485588,1,0,0,35,0.485714285714286,0
"293",42,52,26,1.79012710611883,0,0,0,34,0.470588235294118,0
"294",52,51,25,0.699178082191781,1,0,0,34,0.470588235294118,0
"295",51,0,25.5,1.04215337734891,0,0,0,31,0.419354838709677,1
"296",39,43,25.9,2.49016100178891,0,0,0,34,0.441176470588235,0
"297",43,0,25.2,1.33132530120482,0,0,0,30,0.366666666666667,1
"298",44,0,24.8,1.2262443438914,0,0,0,26,0.384615384615385,0
"299",37,39,23.6,1.9557917109458,1,0,0,42,0.642857142857143,0
"300",39,49,22.9,1.05937716262976,1,0,0,42,0.619047619047619,0
"301",49,41,24.4,0.118380062305296,0,0,0,33,0.787878787878788,0
"302",41,65,24.1,1.07686305111198,0,0,1,36,0.694444444444444,0
"303",65,46,24.1,1.27424460431655,0,0,0,35,0.6,0
"304",46,0,23.7,0.677888730385164,0,0,0,38,0.447368421052632,1
"305",34,43,24.8,1.19839679358717,1,0,0,32,0.625,0
"306",43,43,25.1,0.896349958205628,1,0,0,29,0.655172413793103,0
